index,contour,contrast,luminance,mean_color,mean_color_r,shannon_entropy,year
132,0.002146877,0.838427642,98.91964157,"[112.60528680191044, 95.74917955265522, 90.02693053388188]",112.6052868,7.02708013,1954
133,0,0.5528552,102.2521424,"[190.99884980116244, 81.35369226063017, 47.94496176200673]",190.9988498,6.521352337,1969
134,0,0.347939662,163.5378955,"[201.78348195329087, 162.761576433121, 58.610079617834394]",201.783482,7.362737527,1952
135,0.000197889,0.946755488,145.6292781,"[145.86572119613018, 150.6761301671064, 94.93985488126648]",145.8657212,7.07793936,1950
136,0.001078024,0.66254952,115.2185554,"[117.12626962142198, 115.16698753462605, 110.11192520775623]",117.1262696,5.233472728,1969
137,3.42E-05,0.947681032,122.714889,"[160.6434052019165, 117.64917864476386, 61.210643394934976]",160.6434052,7.455599575,1954
138,0.004083148,0.941278249,113.3880515,"[172.89849665924277, 101.24779510022272, 58.41285449146251]",172.8984967,7.834380418,1937
139,0.000495196,0.713642905,92.63137164,"[121.8219807834442, 86.04211751662972, 71.94869918699187]",121.8219808,6.858416371,1949
140,0,0.473052817,103.441062,"[196.0495775301764, 79.27684308263696, 70.11251624883937]",196.0495775,6.946845198,1956
141,0.000103774,0.860001007,80.80631575,"[94.2778710691824, 75.42661006289308, 94.42837735849056]",94.27787107,6.514045806,1970
142,1.08E-05,0.593648543,121.0175432,"[224.7237320402299, 101.92723419540229, 4.749583333333334]",224.723732,6.940109552,1956
143,0.003061638,0.957327197,120.6279526,"[168.8966504460665, 107.00891321978914, 113.40373884833738]",168.8966504,7.809269771,1949
144,0.000819102,0.695902013,184.2317329,"[234.48419038583174, 175.98139784946235, 117.98474067046173]",234.4841904,7.423524257,1950
145,0.004477273,0.95672642,60.68884488,"[68.71162121212122, 53.51090909090909, 108.1683106060606]",68.71162121,6.494997469,1952
146,0.000938967,0.994895881,49.70107794,"[54.344874804381845, 48.919229264475746, 43.77181142410016]",54.3448748,6.090644275,1969
147,0.002168224,0.998818627,130.4566834,"[156.47640124610592, 125.12332710280374, 106.67031775700934]",156.4764012,7.497206292,1937
148,0.00826087,0.970350411,118.1530684,"[152.87487922705313, 111.53768115942029, 81.44209799861974]",152.8748792,7.57814227,1954
149,0.001519706,0.922179084,99.44160333,"[123.57535738142953, 98.84488977955913, 34.28832665330661]",123.5753574,7.219228403,1949
150,0.000680272,0.638412828,90.80768043,"[155.5694708994709, 76.71724489795919, 39.68749811035525]",155.5694709,6.733142388,1956
151,0.007016929,0.721112714,55.7612238,"[210.6650671336836, 13.536360186806771, 17.90340338587274]",210.6650671,6.154542107,1970
152,0.001015089,1,139.3462395,"[211.6332133058985, 125.0421159122085, 68.18417009602194]",211.6332133,7.42368866,1949
153,0,0.493236899,117.9328105,"[208.40042570281125, 100.50765060240964, 24.152469879518073]",208.4004257,7.126815077,1954
154,0.000235647,1,8.81729559,"[10.520921165381319, 8.301688089117395, 8.90831619537275]",10.52092117,4.018993746,1969
155,0.000674603,0.993352365,52.04774917,"[61.25190079365079, 50.123289682539685, 44.008563492063494]",61.25190079,6.564855323,1969
156,4.33E-05,0.780480753,139.6233181,"[209.28042261152248, 123.71828607549214, 92.06346396965866]",209.2804226,7.182303475,1955
157,0.002496749,0.708109283,77.04191424,"[157.26557607282186, 57.13886866059818, 37.97138361508453]",157.2655761,6.613272311,1957
158,0.000148732,0.734257406,124.433406,"[201.82800029746411, 104.31023425299323, 95.87387223916114]",201.8280003,7.211815199,1957
159,0.001494686,0.709617769,95.494538,"[219.1424648072622, 66.69064560218685, 16.727150301860867]",219.1424648,6.887674706,1961
160,0.000312786,0.551662071,62.11383259,"[70.46377720870679, 59.772751051765134, 60.71692518748857]",70.46377721,5.361520717,1964
161,0,0.378188724,82.9709498,"[107.67247197640118, 76.93407866273353, 70.03503048180924]",107.672472,5.870524197,1958
162,0,0.577912934,172.3723468,"[170.9722412109375, 172.836728515625, 171.8950146484375]",170.9722412,6.390406477,1969
163,0.001823944,0.99091651,99.86751327,"[119.62575352112675, 96.31051408450705, 76.92241549295774]",119.6257535,7.539842709,1969
164,0.000284281,1,56.59413232,"[116.63145903010033, 43.543231605351174, 9.08815635451505]",116.631459,5.300447072,1953
165,3.16E-05,0.435090952,90.03995773,"[166.8510982554461, 70.47750610141914, 57.64407032450511]",166.8510983,6.340608211,1959
166,0.000862971,0.44198955,44.69055837,"[53.924028690974296, 42.17989763897191, 42.37184324566647]",53.92402869,4.593521122,1964
167,0.000103578,0.930019519,19.5956119,"[32.05684557438795, 15.37665725047081, 24.694477401129944]",32.05684557,5.522482558,1968
