index,contour,contrast,luminance,mean_color,mean_color_r,shannon_entropy,period
173,0.000834732,0.748307409,191.4925911,"[205.52641359060402, 190.6475293624161, 158.5396476510067]",205.5264136,7.191799503,stripe_paintings_61_62
174,0.000546448,0.736894306,189.633043,"[217.91667349726777, 185.8809699453552, 143.51646174863387]",217.9166735,7.160978274,stripe_paintings_61_62
175,0.000899673,0.848954658,170.7028334,"[188.10936023264267, 167.97609505634315, 146.45817430025446]",188.1093602,6.596479943,stripe_paintings_61_62
176,0.007546543,0.998333938,180.6980804,"[202.78470269756838, 176.75629274316108, 154.70847739361702]",202.7847027,6.947966156,stripe_paintings_61_62
177,0.000200535,0.802672144,206.5672273,"[215.08984912146676, 207.32228800611153, 173.9920359052712]",215.0898491,5.682867636,stripe_paintings_61_62
178,0.00045208,0.746638206,159.9408238,"[184.62891613924052, 156.114268761302, 125.14946315551538]",184.6289161,6.887648603,stripe_paintings_61_62
179,0.005665025,0.997726534,164.0294786,"[196.27615968801314, 161.4363095238095, 94.76341338259442]",196.2761597,7.387445723,stripe_paintings_61_62
180,0.000366136,0.945704914,183.4350905,"[207.3664889516958, 179.35689876670094, 153.36455549845837]",207.366489,6.398678629,stripe_paintings_61_62
181,0.003026786,0.99003948,153.1626124,"[185.70500892857143, 148.040125, 108.08075]",185.7050089,7.257119721,stripe_paintings_61_62
182,0.001241112,0.912239997,126.3214213,"[151.50229290252008, 120.72567209390382, 107.60433758256552]",151.5022929,7.553088427,stripe_paintings_61_62
183,0.003080357,0.956867509,174.2852696,"[206.95666294642857, 172.28584821428572, 97.88704241071429]",206.9566629,7.24474361,stripe_paintings_61_62
184,0.00046272,1,170.773505,"[186.73707014407404, 168.54367441371332, 145.85551232166017]",186.7370701,6.936644565,stripe_paintings_61_62
185,0.000763942,0.963007302,137.9332865,"[162.1210179526356, 134.34216004583652, 102.28317417876241]",162.121018,7.311612944,stripe_paintings_61_62
186,0.007492711,1,191.5249493,"[200.4929409620991, 191.80337099125364, 162.35982142857142]",200.492941,5.930753784,stripe_paintings_61_62
187,0.000281955,0.940245144,160.6154459,"[203.39952336197638, 154.02406015037593, 99.9265843179377]",203.3995234,7.502456824,stripe_paintings_61_62
188,0.000315664,0.924638366,174.2391412,"[182.6547931469882, 172.9165531925429, 162.5597410314179]",182.6547931,6.332379341,stripe_paintings_61_62
189,0.001222426,0.783690916,165.1300575,"[177.62693014705883, 163.74556985294117, 142.04626838235293]",177.6269301,7.108233453,stripe_paintings_61_62
190,0,0.65078354,221.7693931,"[240.88632903981264, 219.51843286494926, 187.77529599271404]",240.886329,5.127224663,stripe_paintings_61_62
191,0,0.593994609,210.9061756,"[225.52595588235295, 208.30768099547512, 193.59700791855204]",225.5259559,4.817442738,stripe_paintings_61_62
192,0.008802711,0.984931644,174.2101378,"[189.56260542168675, 175.29480421686748, 118.25878012048193]",189.5626054,7.258798266,stripe_paintings_61_62
193,0.00021874,0.984546994,185.7613996,"[197.33307349665924, 184.062420458161, 168.51724467069678]",197.3330735,6.789786747,stripe_paintings_61_62
